kabupaten,bulan,tahun,alokasi_urea,distribusi_urea,alokasi_organik,distribusi_organik,alokasi_za,distribusi_za,alokasi_NPK,distribusi_NPK,curah_hujan,suhu,luas_panen_padi,produksi_padi_ton,luas_panen_jagung,produksi_jagung_ton,luas_panen_kedelai,produksi_kedelai_ton
Bangkalan,Januari,2023,22027,1820.5,0,0.0,0.0,0.0,13946,768.4,8.72,26.64,7370,38471,1678,9580,"12,79","21,88"
Bangkalan,Februari,2023,22027,3231.9,0,0.0,0.0,0.0,13946,1350.6,11.57,26.34,7370,38397,2806,16217,"13,33","22,81"
Bangkalan,Maret,2023,22027,4686.1,0,0.0,0.0,0.0,13946,2192.7,11.88,26.68,9045,47034,2246,12845,"20,57","35,81"
Bangkalan,April,2023,22027,5744.8,0,0.0,0.0,0.0,13946,2784.6,9.63,27.08,9045,46943,1561,8867,"34,76","60,50"
Bangkalan,Mei,2023,22027,6401.9,0,0.0,0.0,0.0,13946,3193.6,2.9,27.65,5695,29500,1742,10034,"74,30","129,34"
Bangkalan,Juni,2023,22027,6911.3,0,0.0,0.0,0.0,13946,3506.2,0.41,28.12,5695,29443,2451,13774,"128,54","223,78"
Bangkalan,Juli,2023,22027,8093.4,0,0.0,0.0,0.0,13946,4161.5,1.83,27.29,5695,29386,1938,10851,"179,90","325,77"
Bangkalan,Agustus,2023,22027,8518.7,0,0.0,0.0,0.0,13946,4390.1,0.28,27.62,5695,29329,1683,9491,"219,41","397,32"
Bangkalan,September,2023,22027,9439.5,0,0.0,0.0,0.0,13946,4866.1,0.22,28.25,9045,46491,1873,10772,"313,09","566,96"
Bangkalan,Oktober,2023,22027,10713.9,0,0.0,0.0,0.0,13946,5626.6,0.65,29.56,9045,46400,1525,8527,"205,79","372,66"
Bangkalan,November,2023,22027,14229.0,0,0.0,0.0,0.0,13946,7614.7,4.84,28.67,7370,37734,1284,7244,"69,08","120,26"
Bangkalan,Desember,2023,22027,17751.6,0,0.0,0.0,0.0,13946,10011.2,08.05,27.74,7370,37660,1289,7401,"6,78","11,59"
Bangkalan,Januari,2024,13401,189.6,0,0.0,0.0,0.0,9490,140.7,8.8,27.26,7480,39120,1561,8928,"9,80","16,86"
