kabupaten,bulan,tahun,alokasi_urea,distribusi_urea,alokasi_NPK,distribusi_NPK,curah_hujan,suhu,luas_panen_padi,produksi_padi_ton,luas_panen_jagung,produksi_jagung_ton,luas_panen_kedelai,produksi_kedelai_ton,bulan_num,rasio_realisasi_urea,rasio_realisasi_NPK,produktivitas_padi,produktivitas_jagung,produktivitas_kedelai,luas_panen_total,produksi_total_ton,tipe_wilayah_encoded,kuartal,kabupaten_encoded
Bangkalan,Januari,2023,22027,1820.5,13946,768.4,8.72,26.64,7370,38471,1678,9580,12.79,21.88,1,0.08264856766695419,0.055098236053348626,5.219945725915875,5.709177592371871,1.710711493354183,9060.79,48072.88,0,1,48804.16416666666
Bangkalan,Februari,2023,22027,3231.9,13946,1350.6,11.57,26.34,7370,38397,2806,16217,13.33,22.81,2,0.1467244745085577,0.09684497346909507,5.209905020352782,5.7794012829650745,1.711177794448612,10189.33,54636.81,0,1,48804.16416666666
Bangkalan,Maret,2023,22027,4686.1,13946,2192.7,11.88,26.68,9045,47034,2246,12845,20.57,35.81,3,0.21274345121895857,0.15722787896170945,5.2,5.7190560997328586,1.7408847836655323,11311.57,59914.81,0,1,48804.16416666666
Bangkalan,April,2023,22027,5744.8,13946,2784.6,9.63,27.08,9045,46943,1561,8867,34.76,60.5,4,0.2608071911744677,0.19967015631722357,5.1899391929242675,5.680333119795003,1.7405063291139242,10640.76,55870.5,0,2,48804.16416666666
Bangkalan,Mei,2023,22027,6401.9,13946,3193.6,2.9,27.65,5695,29500,1742,10034,74.3,129.34,5,0.29063876151995277,0.2289975620249534,5.179982440737489,5.760045924225029,1.7407806191117094,7511.3,39663.34,0,2,48804.16416666666
Bangkalan,Juni,2023,22027,6911.3,13946,3506.2,0.41,28.12,5695,29443,2451,13774,128.54,223.78,6,0.3137649248649385,0.25141259142406425,5.1699736611062335,5.619747042023664,1.7409366734090557,8274.54,43440.78,0,2,48804.16416666666
Bangkalan,Juli,2023,22027,8093.4,13946,4161.5,1.83,27.29,5695,29386,1938,10851,179.9,325.77,7,0.3674308802832887,0.2984009751900186,5.159964881474978,5.599071207430341,1.8108393551973316,7812.9,40562.77,0,3,48804.16416666666
Bangkalan,Agustus,2023,22027,8518.7,13946,4390.1,0.28,27.62,5695,29329,1683,9491,219.41,397.32,8,0.38673900213374496,0.3147927721210383,5.149956101843722,5.639334521687463,1.8108563875848867,7597.41,39217.32,0,3,48804.16416666666
Bangkalan,September,2023,22027,9439.5,13946,4866.1,0.22,28.25,9045,46491,1873,10772,313.09,566.96,9,0.42854224361011484,0.3489244227735552,5.139966832504146,5.751201281366791,1.810853109329586,11231.09,57829.96,0,3,48804.16416666666
Bangkalan,Oktober,2023,22027,10713.9,13946,5626.6,0.65,29.56,9045,46400,1525,8527,205.79,372.66,10,0.4863985109184183,0.4034561881543095,5.129906025428413,5.5914754098360655,1.8108751640021383,10775.79,55299.66,0,4,48804.16416666666
Bangkalan,November,2023,22027,14229.0,13946,7614.7,4.84,28.67,7370,37734,1284,7244,69.08,120.26,11,0.6459799337177101,0.546013193747311,5.119945725915875,5.641744548286605,1.7408801389693112,8723.08,45098.26,0,4,48804.16416666666
Bangkalan,Desember,2023,22027,17751.6,13946,10011.2,8.05,27.74,7370,37660,1289,7401,6.78,11.59,12,0.8059018477323284,0.7178545819589847,5.109905020352781,5.7416602017067495,1.7094395280235988,8665.78,45072.59,0,4,48804.16416666666
Bangkalan,Januari,2024,13401,189.6,9490,140.7,8.8,27.26,7480,39120,1561,8928,9.8,16.86,1,0.014148197895679426,0.014826132771338249,5.229946524064171,5.719410634208841,1.7204081632653059,9050.8,48064.86,0,1,48804.16416666666
Bangkalan,Februari,2024,13401,1198.2,9490,758.2,11.17,27.13,7480,39045,2680,15519,10.27,17.67,2,0.08941123796731587,0.07989462592202319,5.2199197860962565,5.790671641791045,1.7205452775073031,10170.27,54581.67,0,1,48804.16416666666
Bangkalan,Maret,2024,13401,2055.9,9490,1383.0,9.6,27.27,9180,47827,2111,12096,15.72,27.52,3,0.15341392433400494,0.1457323498419389,5.2099128540305015,5.729985788725722,1.7506361323155215,11306.72,59950.52,0,1,48804.16416666666
Bangkalan,April,2024,22897,3058.7,20287,2069.0,11.67,27.55,9180,47736,1468,8354,26.18,45.83,4,0.13358518583220508,0.10198649381377237,5.2,5.690735694822888,1.7505729564553094,10674.18,56135.83,0,2,48804.16416666666
